Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
ChooseList/ExMemory 3/ExMemory 1500/ExMemory 500,1.0761583103081427e-6,1.0306057391450755e-6,1.1411826453644205e-6,1.5266731229220174e-7,1.353436750477238e-7,1.7455534984709898e-7
ChooseList/ExMemory 3/ExMemory 1500/ExMemory 1500,1.2349441585013917e-6,1.2090790422881216e-6,1.2935751703430544e-6,1.2174771939045606e-7,8.769328842370593e-8,1.745755542003459e-7
ChooseList/ExMemory 3/ExMemory 1500/ExMemory 3000,1.1094502945563802e-6,1.067294024368281e-6,1.152584909822449e-6,1.5231501518953397e-7,1.2702211721200542e-7,2.0448822468415988e-7
ChooseList/ExMemory 3/ExMemory 1500/ExMemory 5000,1.002726070131534e-6,9.821613125984274e-7,1.0381578583155758e-6,9.424368464204675e-8,7.755929938518421e-8,1.1547832666632896e-7
ChooseList/ExMemory 3/ExMemory 3000/ExMemory 100,1.1669320068530812e-6,1.1287445371928575e-6,1.2248064591325648e-6,1.4089740009354488e-7,8.642514007599918e-8,2.441360733284876e-7
ChooseList/ExMemory 3/ExMemory 3000/ExMemory 500,1.2061063993431021e-6,1.1687897355336255e-6,1.2434047879025862e-6,1.1591487431721525e-7,7.59982001046305e-8,1.6225694270082765e-7
ChooseList/ExMemory 3/ExMemory 3000/ExMemory 1500,1.135208077125176e-6,1.0964249666051046e-6,1.1735987831031464e-6,1.4162092195417475e-7,1.1310154972192764e-7,1.9960118182402087e-7
ChooseList/ExMemory 3/ExMemory 3000/ExMemory 3000,1.1925669144903648e-6,1.1737920849083109e-6,1.2242922900539234e-6,8.110242641611276e-8,5.408725381200869e-8,1.2015586796780772e-7
ChooseList/ExMemory 3/ExMemory 3000/ExMemory 5000,1.113034574994185e-6,1.0779049118824195e-6,1.2260912220565745e-6,2.1158062154720234e-7,1.1224679110346217e-7,3.914645743112612e-7
ChooseList/ExMemory 3/ExMemory 5000/ExMemory 100,1.1608207731470649e-6,1.1111344680026905e-6,1.2062103579330836e-6,1.762232492923029e-7,1.312148032169641e-7,2.3498699973686285e-7
ChooseList/ExMemory 3/ExMemory 5000/ExMemory 500,1.1192991223169483e-6,1.0784589295083774e-6,1.1603515971674802e-6,1.2315557249408928e-7,1.0247834834432542e-7,1.3193040309627514e-7
ChooseList/ExMemory 3/ExMemory 5000/ExMemory 1500,1.1693270158877126e-6,1.1430139982731339e-6,1.2066477040531613e-6,9.747664856704323e-8,6.70010467917027e-8,1.4319721071057536e-7
ChooseList/ExMemory 3/ExMemory 5000/ExMemory 3000,1.1740723242206283e-6,1.1358853531821872e-6,1.204753530111658e-6,1.0808830459876222e-7,7.956117119106961e-8,1.6643661967417186e-7
ChooseList/ExMemory 3/ExMemory 5000/ExMemory 5000,1.1651349213159655e-6,1.0967742123877457e-6,1.2331755202530554e-6,2.1527741327195466e-7,1.7949293426550478e-7,2.524165877586853e-7
ChooseList/ExMemory 0/ExMemory 100/ExMemory 100,1.1768236609181824e-6,1.1653409360358711e-6,1.1840103791614359e-6,3.1118703261168756e-8,1.346316315710227e-8,4.949837344713163e-8
ChooseList/ExMemory 0/ExMemory 100/ExMemory 500,1.2456675538247413e-6,1.2057161334129204e-6,1.3083485265700357e-6,1.6903159597697155e-7,1.2138543375639003e-7,2.494513649715333e-7
